,tsne-1,class
329,-1.100905,0.0
330,-6.1059084,0.0
331,3.1769922,0.0
332,-3.2339637,1.0
333,-1.5669056,0.0
334,4.4485893,0.0
335,-0.54873455,0.0
336,9.831032,0.0
337,11.449133,0.0
338,-10.265121,1.0
339,2.0903685,0.0
340,4.8963575,0.0
341,-7.4146223,0.0
342,-1.9541863,0.0
343,6.2069793,0.0
344,2.3189685,0.0
345,6.054857,0.0
346,-2.0231206,0.0
347,5.1938605,0.0
348,8.135986,0.0
349,-0.191417,0.0
350,-4.545325,0.0
351,-2.1544883,0.0
352,-8.617612,1.0
353,2.187863,0.0
354,5.8063536,0.0
355,9.361073,0.0
356,11.367351,0.0
357,-4.7373195,0.0
358,-3.0961602,1.0
359,1.9217645,0.0
360,11.491753,0.0
361,-10.710272,1.0
362,6.0847917,0.0
363,9.453313,0.0
364,1.2117227,0.0
365,-13.134446,0.0
366,0.46660012,0.0
367,-6.21831,0.0
368,11.155855,0.0
369,7.658606,0.0
370,0.11484282,0.0
371,1.6171206,0.0
372,7.4369617,0.0
373,7.805562,0.0
374,-13.558492,1.0
375,-0.6981001,0.0
376,-9.01279,1.0
377,-9.704095,1.0
378,3.989833,0.0
379,-6.4862266,1.0
380,2.6970541,0.0
381,3.2182853,0.0
382,3.4936037,0.0
383,4.401449,0.0
384,-1.1840073,0.0
385,-8.849635,1.0
386,4.327118,0.0
387,8.4889,0.0
388,-7.439901,1.0
389,-0.6611003,0.0
390,-8.206652,1.0
391,3.1549854,0.0
392,-3.576514,0.0
393,-7.7594795,1.0
394,-1.1633483,0.0
395,-7.6214175,1.0
396,0.99471605,0.0
397,-4.8349113,0.0
398,5.3024583,0.0
399,3.733462,0.0
400,1.5172138,0.0
401,5.1152997,0.0
402,5.055073,0.0
403,7.6061997,0.0
404,-9.5847225,1.0
405,4.403636,0.0
406,6.4703493,0.0
407,4.4750566,0.0
408,-4.3878503,0.0
409,-6.7042413,0.0
410,10.717954,0.0
411,-9.473021,0.0
412,11.941886,0.0
413,8.075176,0.0
414,-4.6457553,0.0
415,8.3248625,0.0
416,1.4250773,0.0
417,2.948964,0.0
418,-4.1224017,0.0
419,4.6453805,0.0
420,1.3366015,0.0
421,-13.5960245,1.0
422,5.531127,0.0
423,4.1428723,0.0
424,2.2328768,0.0
425,4.107053,0.0
426,-5.4383426,0.0
427,-8.315588,0.0
428,4.1403074,0.0
429,-8.782908,1.0
430,0.018833414,0.0
431,3.87024,1.0
432,5.580831,0.0
433,4.080049,0.0
434,-9.754181,1.0
435,7.886814,0.0
436,3.3596919,0.0
437,-2.812608,0.0
438,-6.1619644,0.0
439,5.3050613,0.0
440,-9.236024,1.0
441,-8.853184,1.0
442,-4.3716516,0.0
443,-11.054501,1.0
444,0.8731492,0.0
445,5.2116036,0.0
446,5.1302724,0.0
447,1.1525903,0.0
448,0.9533314,0.0
449,3.617689,0.0
450,-13.4917965,1.0
451,0.7045613,0.0
452,4.076464,0.0
453,-11.264009,1.0
454,-4.5859113,0.0
455,-3.5717022,1.0
456,7.6701727,0.0
457,-8.080413,1.0
458,-8.455212,1.0
459,-2.9462059,0.0
460,-0.17779309,0.0
461,12.319856,0.0
462,7.367646,0.0
463,-3.3450346,0.0
464,10.518479,0.0
465,10.3881645,0.0
466,-5.6979675,0.0
467,5.751289,0.0
468,-5.6331115,0.0
469,6.3324666,0.0
470,-0.39380392,0.0
471,1.8828263,0.0
472,4.774631,0.0
473,-7.147556,1.0
474,0.75030565,0.0
475,-10.60667,1.0
476,-8.984692,0.0
477,9.479702,0.0
478,1.1372198,0.0
479,0.5528999,0.0
480,-11.097072,0.0
481,-2.8862941,0.0
482,4.9593205,0.0
483,-2.5554702,0.0
484,-2.4521117,0.0
485,9.496275,0.0
486,1.3223469,0.0
487,10.709498,0.0
488,12.175392,0.0
489,8.582479,0.0
490,1.2159119,0.0
491,5.886212,0.0
492,11.255435,0.0
493,5.2382507,0.0
494,0.5564581,0.0
495,10.066436,0.0
496,9.300091,0.0
497,-4.102791,0.0
498,-1.0636399,0.0
499,-2.8851547,0.0
500,8.462789,0.0
501,-3.9712539,1.0
502,9.408291,0.0
